Key,Officer,Received,Completed,Company,Address,PostalCode,City,SHO Decision,Final Decision (Director's Decision),Worker's Stated Safety Concern,Appeal Status,Number of Business Days,Number of Days to Close,Notes,DayOfWeekRCVD,DayOfWeekCompleted,MatchedCompNameCommon,MatchedCompNameLegal,MatchedCompNameAlias,MatchedAddress,MatchedPostalCode,MatchedCity,MatchedProvince,MatchedContact,MatchedCompNameCommon2,MatchedCompNameLegal2,MatchedCompNameAlias2,MatchedAddress2,MatchedPostalCode2,MatchedCity2,MatchedProvince2,MatchedContact2,MatchedCompNameCommon3,MatchedCompNameLegal3,MatchedCompNameAlias3,MatchedAddress3,MatchedPostalCode3,MatchedCity3,MatchedProvince3,MatchedContact3,MatchedCompNameCommon4,MatchedCompNameLegal4,MatchedCompNameAlias4,MatchedAddress4,MatchedPostalCode4,MatchedCity4,MatchedProvince4,MatchedContact4,MatchedCompNameCommon5,MatchedCompNameLegal5,MatchedCompNameAlias5,MatchedAddress5,MatchedPostalCode5,MatchedCity5,MatchedProvince5,MatchedContact5
314,Tim Maughan,2019-06-27,2019-07-11,AActive Personnel Services Ltd,125 Adelaide St,R3C 2Z4,Winnipeg,Closed,Closed,Right to Refuse,,11.0,14,,,,AActive Personnel Services Ltd,AActive Personnel Services Ltd.,,125 Adelaide St,R3C 2Z4,Winnipeg,MB,"Ken Peters, Owner",Aactive Personnel Services Ltd,,,125 Adelaide St,R3C 2Z4,Winnipeg,MB,"Ken Peters, Owner",,,,,,,,,,,,,,,,,,,,,,,,
315,Darcel Lecocq,2019-06-28,2019-09-17,Shae's Way Cleaning Services,,,,DA,DA,Harassment,,58.0,81,,,,Shae's Way Cleaning Services,,,,,,MB,,Oxford Building,,Cleaning Iv Inc,238 Jarvis Ave,R2W 3A2,Winnipeg,MB,,M D's Cleaning Service,,,14 Regal St,R2X 1Y3,Winnipeg,MB,,,,,,,,,,,,,,,,,
316,Paul Martins,2019-07-04,2019-10-16,Garden Grove School (Winnipeg School Division),,,,No DA,Closed,Bullying,Appealed at Director Level - Appeal Closed,75.0,104,,,,Winnipeg Enterprises Corporation,,Select A Seat,1430 Maroons Road,R3G 0L5,Winnipeg,MB,,Winnipeg School Division 151,The Winnipeg School Division,Winnipeg School Division 1,1577 Wall St E,R3E 2S5,Winnipeg,MB,Pauline Clarke (Chief Superintendent & CEO),Winnipeg School Division 151,The Winnipeg School Division,Winnipeg School Division 1,1577 Wall St E,R3E 2S5,Winnipeg,MB,Pauline Clarke (Chief Superintendent & CEO),Winnipeg School Division 151,The Winnipeg School Division,Winnipeg School Division 1,1577 Wall St E,R3E 2S5,Winnipeg,MB,Pauline Clarke (Chief Superintendent & CEO),Winnipeg School Division 151,The Winnipeg School Division,Winnipeg School Division 1,1577 Wall St E,R3E 2S5,Winnipeg,MB,Pauline Clarke (Chief Superintendent & CEO)
317,Darcel Lecocq,2019-07-08,2019-12-04,Action Flooring Design Center Ltd,,,,Suspended Pending Labour Board Decision,,Harassment,,108.0,149,,,,Action Flooring Design Center Ltd,Action Flooring Design Center Ltd.,Action Flooring or Action Design Center,,,,MB,,MX Flooring,,,,,,MB,,S.H. Flooring,,,,,,MB,,,,,,,,,,,,,,,,,
318,Tim Maughan,2019-07-08,2019-08-12,Greenskeeper Nursery,,,,No DA,No DA,Right to Refuse,,26.0,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319,Paul Martins,2019-07-10,2019-09-03,Gerdau Ameristeel Manitoba Metals,,,,No DA,,Lifting Loads,Appealed at Director Level,40.0,55,,,,Gerdau Inc,,,314 Dawson Road N,R2J 0S7,Winnipeg,MB,Lloyd Kellett,Automotive Dismantlers & Recyclers Of,Manitoba Inc.,,844 Mcleod Ave Suite 1,R2G 2T7,Winnipeg,MB,DVE BLAYDEN,Gerdau Ameristeel Corp,Gerdau Ameristeel Inc,Gerdau Long Steel Manitoba Mill,27 Main St,,Selkirk,MB,Syed Naqvi (Employer Co-Chair),P P Manitoba Inc,,Premium Pork Manitoba Inc,,R0M 0T0,Hamiota,MB,,ACL Manitoba,,Community Living Manitoba,,,,MB,
321,Tim Maughan,2019-07-11,2019-09-26,Rivard Group,,,,No DA,No DA,Mould ,,56.0,77,,,,Les Productions Rivard Inc,,,354 Marion St,R2H 0V3,Winnipeg,MB,Jeremy Guenette,Ultracuts Ltd,,Rivard Group,167 St. Mary's Road,R2H 1J1,Winnipeg,MB,Meril Rivard,Rivard Industrial Inc.,,,1018 Sherbrook St,R3A 1N8,Winnipeg,MB,,Rivard Group,3244571 Manitoba Ltd,Rivard Hospitality Limited Partnership or The Rivard Group,,,,MB,Meril Rivard (Owner),Rivard Backhoe Service,,,15 Allarie St,R0H 1H0,St Eustache,MB,Dennis or Darlene Rivard
320,Tim Maughan,2019-07-11,2019-07-26,K & D Transitions,,,,Closed,Closed,Harassment,,12.0,15,,,,D&D Group Ltd.,,,2853 Gateway Road,R2E 0J6,Winnipeg,MB,,D&D Electronics,,D&D&K Ltd.,237 Tulip Street,R6M 1H8,Morden,MB,Dianne Lambert,"Options, Pathways & Transitions Inc",,,99 Springside Drive,R2M 5A7,Winnipeg,MB,Kelly Bennett,R & D Enterprises,,,,R0L 1X0,Sifton,MB,R Mullen & D Standrick,K & L Services,,Ed's Tire Service,,,,MB,Geoff Richardson
322,Trent Thompson,2019-07-17,2019-07-19,Spar-Marathon Roofing Supplies,10A Keenleyside St,R2L 2B9,Winnipeg,Close,,Right to Refuse,,3.0,2,,,,Spar-Marathon Roofing Supplies,,,10A Keenleyside St,R2L 2B9,Winnipeg,MB,Jeff Barnard,M Roofing,,,1003 Main St S,R7N 1M5,Dauphin,MB,Mitch Fair; Chris Ranville,CP Roofing,,,,,,MB,,VZ Roofing,,,,,,MB,,DC Roofing,,,,,,MB,
324,Tom Levich,2019-07-22,2019-08-14,Municipality of Minitonas-Bowsman,311 Main St,R0L 1G0,Minitonas,No DA,,Harassment,Appealed at Director Level - Upheld,18.0,23,,,,Municipality of Minitonas-Bowsman,,,311 Main St,R0L 1G0,Minitonas,MB,Kasey Chartrand,The Municipality of Minitonas-Bowsman,,,311 Main St,R0L 1G0,Minitonas,MB,Maureen Kluk,Municipality of Lorne,,R M of Lorne,311 3rd St,R0G 2L0,Somerset,MB,Shannon Gaultier (CAO),Municipality of Louise,,"Amalgamation of the Village of Crystal City, the Town of Pilot Mound, & the RM of Louise",,,,MB,Melissa Penner (Admin Asst),,,,,,,,
323,Tim Maughan,2019-07-22,2019-12-03,Latino's Market,,,,DA,DA,Lack of PPE,,97.0,134,,,,Latinos Market,Jesse Jonathan Lemus-Aguillon,,,,,MB,,VanLoi's Market,,VanLoi Trading Co.,417 McPhillips St,R2X 2Z8,Winnipeg,MB,Quen Van Duong / Tina (owners),,,,,,,,,,,,,,,,,,,,,,,,
325,Tim Maughan,2019-07-25,2019-08-26,Latino's Market,,,,Closed,Closed,Lack of PPE,,23.0,32,,,,Latinos Market,Jesse Jonathan Lemus-Aguillon,,,,,MB,,VanLoi's Market,,VanLoi Trading Co.,417 McPhillips St,R2X 2Z8,Winnipeg,MB,Quen Van Duong / Tina (owners),,,,,,,,,,,,,,,,,,,,,,,,
